index;x;A;B;y;fx
1;1;0.21;0.1;3_17;y = 3*x + 2
2;2;0.36;0.29;3_17;y = 3*x + 2
3;3;0.51;0.30;3_17;y = 3*x + 2
4;4;0.67;0.48;3_17;y = 3*x + 2
5;5;0.84;0.56;3_17;y = 3*x + 2
6;6;0.98;0.61;3_17;y = 3*x + 2
7;7;1.0;0.8;3_17;y = 3*x + 2
8;8;0.90;0.90;3_17;y = 3*x + 2
9;9;0.78;0.99;3_17;y = 3*x + 2
10;10;0.67;1.0;3_17;y = 3*x + 2
11;11;0.60;0.84;3_17;y = 3*x + 2
12;12;0.50;0.68;3_17;y = 3*x + 2
13;13;0.33;0.53;3_17;y = 3*x + 2
14;14;0.22;0.35;3_17;y = 3*x + 2
15;15;0.18;0.23;3_17;y = 3*x + 2
16;16;0.01;0.02;3_17;y = 3*x + 2
