index;x;A;B;y;fx
1;1;0.17;0.12;2_19;y = 2*x + 3
2;2;0.20;0.21;2_19;y = 2*x + 3
3;3;0.29;0.34;2_19;y = 2*x + 3
4;4;0.45;0.40;2_19;y = 2*x + 3
5;5;0.52;0.47;2_19;y = 2*x + 3
6;6;0.61;0.61;2_19;y = 2*x + 3
7;7;0.64;0.71;2_19;y = 2*x + 3
8;8;0.75;0.77;2_19;y = 2*x + 3
9;9;0.85;0.85;2_19;y = 2*x + 3
10;10;0.99;0.91;2_19;y = 2*x + 3
11;11;1.00;1.0;2_19;y = 2*x + 3
12;12;0.80;0.83;2_19;y = 2*x + 3
13;13;0.67;0.67;2_19;y = 2*x + 3
14;14;0.40;0.47;2_19;y = 2*x + 3
15;15;0.30;0.25;2_19;y = 2*x + 3
16;16;0.04;0.08;2_19;y = 2*x + 3
