index;x;A;B;y;fx
1;1;0.21;0.24;1_18;y = 3*x - 4
2;2;0.33;0.25;1_18;y = 3*x - 4
3;3;0.36;0.45;1_18;y = 3*x - 4
4;4;0.46;0.59;1_18;y = 3*x - 4
5;5;0.61;0.71;1_18;y = 3*x - 4
6;6;0.67;0.76;1_18;y = 3*x - 4
7;7;0.84;1.00;1_18;y = 3*x - 4
8;8;0.99;1.00;1_18;y = 3*x - 4
9;9;1.00;0.88;1_18;y = 3*x - 4
10;10;0.86;0.76;1_18;y = 3*x - 4
11;11;0.75;0.65;1_18;y = 3*x - 4
12;12;0.63;0.50;1_18;y = 3*x - 4
13;13;0.50;0.42;1_18;y = 3*x - 4
14;14;0.32;0.33;1_18;y = 3*x - 4
15;15;0.16;0.15;1_18;y = 3*x - 4
16;16;0.00;0.04;1_18;y = 3*x - 4
