index;x;A;B;y;fx
1;1;0.11;0.14;2_18;y = 3*x - 3
2;2;0.22;0.21;2_18;y = 3*x - 3
3;3;0.32;0.32;2_18;y = 3*x - 3
4;4;0.45;0.39;2_18;y = 3*x - 3
5;5;0.49;0.47;2_18;y = 3*x - 3
6;6;0.62;0.59;2_18;y = 3*x - 3
7;7;0.71;0.64;2_18;y = 3*x - 3
8;8;0.81;0.80;2_18;y = 3*x - 3
9;9;0.84;0.82;2_18;y = 3*x - 3
10;10;0.92;0.92;2_18;y = 3*x - 3
11;11;1.00;1.00;2_18;y = 3*x - 3
12;12;0.80;0.82;2_18;y = 3*x - 3
13;13;0.60;0.62;2_18;y = 3*x - 3
14;14;0.46;0.50;2_18;y = 3*x - 3
15;15;0.23;0.20;2_18;y = 3*x - 3
16;16;0.05;0.10;2_18;y = 3*x - 3
